Country,Books,Book1,Author1,Title1,Book2,Author2,Title2,Book3,Author3,Title3
Croatia,Miroslav Krleža On the Edge of Reason / Dubravka Ugr?sic The Ministry of Pain; In the Jaws of Life / Slavenka Drakulic A Guided Tour through the Museum of Communism / Marija Juri? Zagorka Daughter of the Lotrš?ak; A Stone on the Road; The Witch of Gric / Antun Gustav Matoš / Robert Periši? Our Man in Iraq,Miroslav Krleža On the Edge of Reason,Miroslav Krleža,On the Edge of Reason,Dubravka Ugresic The Ministry of Pain,Dubravka Ugresic,The Ministry of Pain,Slavenka Drakulic A Guided Tour through the Museum of Communism,Slavenka Drakulic,A Guided Tour through the Museum of Communism
Cuba,Mayra Montero Dancing to Almendra / Ena Lucia Portela One Hundred Bottles / Alejo Carpentier / Reinaldo Arenas / Antonio José Ponte / Leonardo Padura / Reinaldo Arenas / Leonardo Padura Fuentes / Virgilio Piñera / José Lezama Lima / Severo Sarduy / Guillermo Cabrera Infante / Lydia Cabrera Afro-Cuban Tales / Leonardo Padura The Man Who Loved Dogs,Mayra Montero Dancing to Almendra,Mayra Montero,Dancing to Almendra,Ena Lucia Portela One Hundred Bottles,Ena Lucia,Portela One Hundred Bottles,Alejo Carpentier,Alejo Carpentier,None
Cyprus,"Anna Marangou/Andreas Coutas (trans. Xenia Andreou) Famagusta: the Story of the City / Eve Makis / Christy Lefteri A Watermelon, a Fish and a Bible / Panos Ioannides Gregory and other stories / Elmos Konis Magnette / Nora Nadjarian Ledra Street",Anna Marango,Anna Marango,None,ndreas Coutas (trans. Xenia Andreou) Famagusta: the Story of the City,ndreas Coutas,(trans. Xenia Andreou) Famagusta: the Story of the City,Eve Makis,Eve Makis,None
Czech Republic,Bohumil Hrabal Too Loud a Solitude / Hana Demetz The House on Prague Street / Tomáš Zmeškal Love Letter in Cuneiform Script / Josef Škvorecký The Engineer of Human Souls (trans. Paul Wilson) / Jáchym Topol The Devil’s Workshop,Bohumil Hrabal Too Loud a Solitude,Bohumil Hrabal,Too Loud a Solitude,Hana Demetz The House on Prague Street,Hana Demetz,The House on Prague Street,Tomáš Zmeškal Love Letter in Cuneiform Script,Tomáš Zmeškal,Love Letter in Cuneiform Script
Denmark,Jakob Ejersbo Exile: Book One of the African Trilogy / Morten Ramsland Dog Head / Christian Jungersen The Exception / Louise Bugge Laermann Constanze Mozart / Peter Høeg Smilla’s Sense of Snow,Jakob Ejersbo Exile: Book One of the African Trilogy,Jakob Ejersbo,Exile: Book One of the African Trilogy,Morten Ramsland Dog Head,Morten Ramsland,Dog Head,Christian Jungersen The Exception,Christian Jungersen,The Exception
Djibouti,Abdourahman Waberi In the United States of Africa; Passage of Tears,Abdourahman Waberi In the United States of Africa; Passage of Tear,Abdourahman Waberi,In the United States of Africa; Passage of Tear,None,None,None,None,None,None
Dominica,Phyllis Shand Allfrey The Orchid House / Elma Napier Black and White Sands / Jean Rhys / Pupils of Atkinson School The Snake King of the Kalinago / Alick Lazare Pharcel / Various Home Again / Christborne Shillingford Most Wanted: street stories from the Caribbean,Junot Diaz The Brief Wondrous Life of Oscar Wao,Junot Diaz,The Brief Wondrous Life of Oscar Wao,Phyllis Shand Allfrey The Orchid House,Phyllis Shand,Allfrey The Orchid House,Elma Napier Black and White Sands,Elma Napier,Black and White Sands
Dominican Republic,Juan Bosch / Arambilet Neguri’s Secret / Junot Diaz The Brief Wonderous Life of Oscar Wao / Pedro Mir When they Loved the Communal Land / Julia Alvarez / Rita Indiana Tentacle,Juan Bosch,Juan Bosch,None,Arambilet Neguri’s Secret,Arambilet Neguri’s,Secret,Junot Diaz The Brief Wonderous Life of Oscar Wao,Junot Diaz,The Brief Wonderous Life of Oscar Wao
East Timor,Timor Luis Cardoso The Crossing,Timor Luis Cardoso The Crossin,Timor Luis,Cardoso The Crossin,None,None,None,None,None,None
Ecuador,Jorge Icaza Huasipungo,Jorge Icaza Huasipung,Jorge Icaza,Huasipung,None,None,None,None,None,None
Egypt,"Ahdaf Soueif The Map of Love; Cairo: My City, Our Revolution / Sonallah Ibrahim Stealth / Mohamed Mansi Qandil Moon Over Samarqand / Waguih Ghali Beer in the Snooker Club / Naguib Mahfouz Midaq Alley; The Thief and the Dogs; Miramar; The Final Hour/ Alaa Al Aswany The Yacoubian Building / Radwa Ashour / Nawal El Saadawi / May Telmissany Dunyazad / Salwa Bakr / ed. Marilyn Booth My Grandmother’s Cactus / Gamal al-Ghitani Zayni Barakat / Yusef Zeidan Azazil / Radwa Ashour Granada; Spectres / Ibrahim Abdel Meguid No One Sleeps in Alexandria / Bahar Tahir / Muhammad Bisati / Basma Abdel Aziz The Queue",Ahdaf Soueif The Map of Love,Ahdaf Soueif,The Map of Love,Sonallah Ibrahim Stealth,Sonallah Ibrahim,Stealth,Mohamed Mansi Qandil Moon Over Samarqand,Mohamed Mansi,Qandil Moon Over Samarqand
El Salvador,Horacio Castellanos Moya Senselessness,Horacio Castellanos Moya Senselessnes,Horacio Castellanos,Moya Senselessnes,None,None,None,None,None,None
Equatorial Guinea,Juan Tomás Ávila Laurel By Night the Mountain Burns / Donato Ndongo Shadows of your Black Memory / Maria Nsue Angue Ekomo (translation sought) / TrifoniaMelibea Obono La Bastarda,Juan Tomás Ávila Laurel By Night the Mountain Burns,Juan Tomás,Ávila Laurel By Night the Mountain Burns,Donato Ndongo Shadows of your Black Memory,Donato Ndongo,Shadows of your Black Memory,Maria Nsue Angue Ekomo (translation sought),Maria Nsue,Angue Ekomo (translation sought)
Eritrea,Senait Mehari Heart of Fire / Sulaiman Addonia The Consequences of Love / Dawit Gebremichael Habte Gratitude in Low Voices,Senait Mehari Heart of Fire,Senait Mehari,Heart of Fire,Sulaiman Addonia The Consequences of Love,Sulaiman Addonia,The Consequences of Love,Dawit Gebremichael Habte Gratitude in Low Voice,Dawit Gebremichael,Habte Gratitude in Low Voice
Estonia,Jaan Kross Professor Martens’ Departure; Treading Air / Viivi Luik The Beauty of History,Jaan Kross Professor Martens’ Departure; Treading Air,Jaan Kross,Professor Martens’ Departure; Treading Air,Viivi Luik The Beauty of Histor,Viivi Luik,The Beauty of Histor,None,None,None
Ethiopia,Maaza Mengiste Beneath the Lion’s Gaze / Dinaw Mengestu Children of the Revolution / Abraham Verghese Cutting for Stone,Maaza Mengiste Beneath the Lion’s Gaze,Maaza Mengiste,Beneath the Lion’s Gaze,Dinaw Mengestu Children of the Revolution,Dinaw Mengestu,Children of the Revolution,Abraham Verghese Cutting for Ston,Abraham Verghese,Cutting for Ston
Fiji,Peter Thomson Kava in the Blood / Epeli Hau’ofa Kisses in the Nederends; Tales of the Tikongs / Mikaele M.K. Yasa Of Baluka and Nibong Palm,Peter Thomson Kava in the Blood,Peter Thomson,Kava in the Blood,Epeli Hau’ofa Kisses in the Nederends; Tales of the Tikongs,Epeli Hau’ofa,Kisses in the Nederends; Tales of the Tikongs,Mikaele M.K. Yasa Of Baluka and Nibong Pal,Mikaele M.K.,Yasa Of Baluka and Nibong Pal
Finland,Arto Paasilinna The Year of the Hare / Mika Waltari The Egyptian / Johanna Sinisalo Troll: A Love Story / Sofi Oksanen Purge / Emmi Itäranta Memory of Water / Antti Tuomainen The Man Who Died,Arto Paasilinna The Year of the Hare,Arto Paasilinna,The Year of the Hare,Mika Waltari The Egyptian,Mika Waltari,The Egyptian,Johanna Sinisalo Troll: A Love Story,Johanna Sinisalo,Troll: A Love Story
France,"Alain-Fournier The Wanderer / Marie NDiaye Rosie Carpe / Marie Darrieussecq My Phantom Husband / Colette Chéri / Faiza Guene Dreams from the Endz / Raymond Queneau Exercises in Style (trans. Barbara Wright) / Georges Perec Life:a User’s Manual (trans. David Bellos) / Jean-Marie Gustave Le Clezio Wandering Star / Jean Echenoz Lightning / Delphine de Vigan Underground Time / Faïza Guène Just Like Tomorrow / Alexis Jenni The French Art of War / Laurence Cossé A Novel Bookstore / Hélène Grémillon The Confidant / Jérôme Ferrari Where I Left My Soul / Marguerite Yourcenar / Michel Houellebecq / André Schwarz-Bart A Woman Named Solitude (trans. Ralph Manheim) / Abnousse Shalmani Khomeini, Sade and Me / Lydia Salvayre Cry, Mother Spain / Tiphaine Rivière Notes on a Thesis / Bessora/Barroux Alpha: Abidjan to Garde du Nord",Alain-Fournier The Wanderer,Alain-Fournier The,Wanderer,Marie NDiaye Rosie Carpe,Marie NDiaye,Rosie Carpe,Marie Darrieussecq My Phantom Husband,Marie Darrieussecq,My Phantom Husband
Gabon,Daniel Mengara Mema,Daniel Mengara Mem,Daniel Mengara,Mema,None,None,None,None,None,None
Gambia,Gambia Dayo Forster Reading the Ceiling / Dembo Fanta Bojang & Sukai Mbye Bojang Folk Tales and Fables from The Gambia,Gambia Dayo Forster Reading the Ceiling,Gambia Dayo,Forster Reading the Ceiling,Dembo Fanta Bojang & Sukai Mbye Bojang Folk Tales and Fables from The Gambi,Dembo Fanta,Bojang & Sukai Mbye Bojang Folk Tales and Fables from The Gambi,None,None,None
Georgia,Sana Krasikov One More Year / ed Elizabeth Heighway Contemporary Georgian Fiction / Cabua Amirejibi Data Tutashkhia / Mikheil Javakhishvili Kvachi / Otar Chiladze A Man Was Going Down the Road / Nino Haratischvili The Eighth Life: (for Brilka),Sana Krasikov One More Year,Sana Krasikov,One More Year,ed Elizabeth Heighway Contemporary Georgian Fiction,ed Elizabeth,Heighway Contemporary Georgian Fiction,Cabua Amirejibi Data Tutashkhia,Cabua Amirejibi,Data Tutashkhia
